FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,Field1,Field2,Field3,Field4,Field5,Field6,Distance
245,211,6/26/2011,0.344131944,30.23735548000,-88.35020164000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.83229791
246,212,6/26/2011,0.344490741,30.21805816000,-88.36515061000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.80923516
247,213,6/26/2011,0.345138889,30.19691667000,-88.37206667000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.78699139
248,214,6/26/2011,0.345625,30.14705940000,-88.36382478000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.74264228
249,215,6/26/2011,0.346319444,30.14440000000,-88.36268333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.74054252
250,218,6/26/2011,0.347986111,30.06721810000,-88.34748515000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.67470181
251,219,6/26/2011,0.348321759,30.04875759000,-88.37036504000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.64871278
252,220,6/26/2011,0.348553241,30.04126811000,-88.34741602000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.65107604
253,221,6/26/2011,0.34869213,30.03537945000,-88.35161655000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.64397110
254,222,6/26/2011,0.349930556,30.02316667000,-88.34761667000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.63459649
256,224,6/26/2011,0.355520833,29.99877487000,-88.35829892000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.60798134
257,225,6/26/2011,0.355763889,29.98503333000,-88.35022953000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.59919677
258,226,6/26/2011,0.355960648,29.97438429000,-88.36059141000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.58503991
259,228,6/26/2011,0.358252315,29.87316107000,-88.31579840000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.52115631
260,229,6/26/2011,0.358796296,29.84782833000,-88.31176481000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.50326565
261,230,6/26/2011,0.359166667,29.83081521000,-88.30768384000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.49250544
262,231,6/26/2011,0.359826389,29.80191384000,-88.29848133000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.47667348
263,232,6/26/2011,0.360046296,29.74973467000,-88.29421751000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.44269075
264,233,6/26/2011,0.360393519,29.77418333000,-88.29344754000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.46014274
265,234,6/26/2011,0.360601852,29.76746601000,-88.29826588000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.45199282
266,235,6/26/2011,0.361863426,29.76730861000,-88.30594133000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.44645000
267,236,6/26/2011,0.361863426,29.76730861000,-88.30594133000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.44645000
268,238,6/26/2011,0.363506944,29.69336721000,-88.28873634000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.41105135
269,239,6/26/2011,0.364050926,29.66801667000,-88.28118333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.40289950
270,240,6/26/2011,0.366284722,29.56455000000,-88.26363333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.37432460
271,241,6/26/2011,0.36650463,29.55542763000,-88.26211527000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.37309042
272,242,6/26/2011,0.366701389,29.54656707000,-88.26556904000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.36735066
273,243,6/26/2011,0.369328704,29.42715000000,-88.24015000000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.38053665
274,244,6/26/2011,0.369502315,29.41961667000,-88.24138333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.37983382
