FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
160,719,6/28/2011,0.42712963,28.99464891000,-92.95607737000,504,-92.99600000000,28.99400000000,13.10000000000,0.03992790
697,713,6/28/2011,0.425729167,29.06077590000,-92.95519481000,504,-92.99600000000,28.99400000000,13.10000000000,0.07825653
698,714,6/28/2011,0.426388889,29.05291601000,-92.98376079000,504,-92.99600000000,28.99400000000,13.10000000000,0.06017387
699,715,6/28/2011,0.426423611,29.03201667000,-92.94458333000,504,-92.99600000000,28.99400000000,13.10000000000,0.06394483
700,716,6/28/2011,0.426423611,29.03178846000,-92.96631285000,504,-92.99600000000,28.99400000000,13.10000000000,0.04805512
701,717,6/28/2011,0.427083333,29.02144896000,-92.97284182000,504,-92.99600000000,28.99400000000,13.10000000000,0.03591304
703,720,6/28/2011,0.427789352,28.97767522000,-92.96366854000,504,-92.99600000000,28.99400000000,13.10000000000,0.03621908
704,721,6/28/2011,0.427789352,28.97532378000,-92.95931045000,504,-92.99600000000,28.99400000000,13.10000000000,0.04116946
705,722,6/28/2011,0.429166667,28.94930076000,-92.95909903000,504,-92.99600000000,28.99400000000,13.10000000000,0.05796295
1523,1562,7/1/2011,0.405590278,29.02061861000,-92.93836873000,504,-92.99600000000,28.99400000000,13.10000000000,0.06348160
1524,1563,7/1/2011,0.406342593,28.98535337000,-92.92397251000,504,-92.99600000000,28.99400000000,13.10000000000,0.07254463
1526,1565,7/1/2011,0.406365741,28.98554303000,-92.95067524000,504,-92.99600000000,28.99400000000,13.10000000000,0.04610699
1527,1566,7/1/2011,0.406597222,28.97576377000,-92.96233413000,504,-92.99600000000,28.99400000000,13.10000000000,0.03828774
1528,1567,7/1/2011,0.406759259,28.96648661000,-92.93332875000,504,-92.99600000000,28.99400000000,13.10000000000,0.06844467
1529,1568,7/1/2011,0.406840278,28.96486339000,-92.97872125000,504,-92.99600000000,28.99400000000,13.10000000000,0.03387473
1530,1569,7/1/2011,0.406875,28.96082004000,-92.92627251000,504,-92.99600000000,28.99400000000,13.10000000000,0.07721938
1531,1570,7/1/2011,0.407037037,28.95453527000,-92.94353539000,504,-92.99600000000,28.99400000000,13.10000000000,0.06565059
1532,1571,7/1/2011,0.407152778,28.94931667000,-92.94163110000,504,-92.99600000000,28.99400000000,13.10000000000,0.07037455
1533,1572,7/1/2011,0.407222222,28.94600000000,-92.93406535000,504,-92.99600000000,28.99400000000,13.10000000000,0.07835752
1534,1573,7/1/2011,0.407326389,28.94150000000,-92.95890282000,504,-92.99600000000,28.99400000000,13.10000000000,0.06428414
688,704,6/28/2011,0.420196759,29.31927022000,-92.93034891000,505,-92.93900000000,29.17400000000,10.20000000000,0.14552759
689,705,6/28/2011,0.42087963,29.28968311000,-92.91881465000,505,-92.93900000000,29.17400000000,10.20000000000,0.11743096
690,706,6/28/2011,0.421574074,29.25768333000,-92.93566667000,505,-92.93900000000,29.17400000000,10.20000000000,0.08374969
691,707,6/28/2011,0.422951389,29.19331091000,-92.93944676000,505,-92.93900000000,29.17400000000,10.20000000000,0.01931608
692,708,6/28/2011,0.423611111,29.17996786000,-92.94040121000,505,-92.93900000000,29.17400000000,10.20000000000,0.00613015
693,709,6/28/2011,0.42431713,29.14418787000,-92.95128579000,505,-92.93900000000,29.17400000000,10.20000000000,0.03224444
1329,1361,6/30/2011,0.461145833,29.20649615000,-92.89236615000,505,-92.93900000000,29.17400000000,10.20000000000,0.05683939
1330,1362,6/30/2011,0.461157407,29.21300015000,-92.89140330000,505,-92.93900000000,29.17400000000,10.20000000000,0.06153420
1331,1363,6/30/2011,0.461168981,29.21710015000,-92.89305330000,505,-92.93900000000,29.17400000000,10.20000000000,0.06299779
1332,1364,6/30/2011,0.461805556,29.22595924000,-92.89351766000,505,-92.93900000000,29.17400000000,10.20000000000,0.06905364
1333,1365,6/30/2011,0.46181713,29.23001041000,-92.89829689000,505,-92.93900000000,29.17400000000,10.20000000000,0.06923806
1334,1366,6/30/2011,0.4625,29.24986386000,-92.90913273000,505,-92.93900000000,29.17400000000,10.20000000000,0.08153146
1335,1367,6/30/2011,0.462534722,29.26363896000,-92.91238869000,505,-92.93900000000,29.17400000000,10.20000000000,0.09350564
1336,1368,6/30/2011,0.463217593,29.28694057000,-92.92385785000,505,-92.93900000000,29.17400000000,10.20000000000,0.11395112
1337,1369,6/30/2011,0.463888889,29.30631979000,-92.93452241000,505,-92.93900000000,29.17400000000,10.20000000000,0.13239553
1521,1560,7/1/2011,0.398101852,29.27226667000,-92.92796667000,505,-92.93900000000,29.17400000000,10.20000000000,0.09888414
1522,1561,7/1/2011,0.399178241,29.27783333000,-92.92531667000,505,-92.93900000000,29.17400000000,10.20000000000,0.10473106
181,703,6/28/2011,0.419490741,29.36150668000,-92.96282012000,506,-93.00500000000,29.49000000000,7.90000000000,0.13523933
679,694,6/28/2011,0.412962963,29.66583333000,-92.87278333000,507,-92.87600000000,29.53100000000,7.00000000000,0.13487169
680,695,6/28/2011,0.414467593,29.61210000000,-92.90483333000,507,-92.87600000000,29.53100000000,7.00000000000,0.08607306
681,696,6/28/2011,0.415150463,29.58136236000,-92.91062310000,507,-92.87600000000,29.53100000000,7.00000000000,0.06111568
682,697,6/28/2011,0.415300926,29.57409753000,-92.91025529000,507,-92.87600000000,29.53100000000,7.00000000000,0.05505290
683,698,6/28/2011,0.415613426,29.55875000000,-92.91063333000,507,-92.87600000000,29.53100000000,7.00000000000,0.04437939
684,699,6/28/2011,0.41568287,29.55458005000,-92.89291282000,507,-92.87600000000,29.53100000000,7.00000000000,0.02901831
685,700,6/28/2011,0.416319444,29.52801342000,-92.91571073000,507,-92.87600000000,29.53100000000,7.00000000000,0.03982288
686,701,6/28/2011,0.4165625,29.51674067000,-92.91439307000,507,-92.87600000000,29.53100000000,7.00000000000,0.04095554
1501,1540,7/1/2011,0.381782407,29.54476667000,-92.73353333000,507,-92.87600000000,29.53100000000,7.00000000000,0.14313027
1502,1541,7/1/2011,0.383229167,29.59051667000,-92.78510000000,507,-92.87600000000,29.53100000000,7.00000000000,0.10865102
1503,1542,7/1/2011,0.384560185,29.62763333000,-92.83865000000,507,-92.87600000000,29.53100000000,7.00000000000,0.10360030
1504,1543,7/1/2011,0.385393519,29.65061227000,-92.87077685000,507,-92.87600000000,29.53100000000,7.00000000000,0.11972626
1505,1544,7/1/2011,0.385775463,29.66327631000,-92.88426185000,507,-92.87600000000,29.53100000000,7.00000000000,0.13253407
1506,1545,7/1/2011,0.386446759,29.68441667000,-92.90925000000,507,-92.87600000000,29.53100000000,7.00000000000,0.15697846
1507,1546,7/1/2011,0.387037037,29.67970000000,-92.90095000000,507,-92.87600000000,29.53100000000,7.00000000000,0.15077862
1508,1547,7/1/2011,0.389247685,29.67500000000,-92.89690000000,507,-92.87600000000,29.53100000000,7.00000000000,0.14550880
1509,1548,7/1/2011,0.389768519,29.65282345000,-92.89643748000,507,-92.87600000000,29.53100000000,7.00000000000,0.12352588
1510,1549,7/1/2011,0.391215278,29.58628333000,-92.90676667000,507,-92.87600000000,29.53100000000,7.00000000000,0.06326796
1511,1550,7/1/2011,0.391469907,29.57561339000,-92.90935574000,507,-92.87600000000,29.53100000000,7.00000000000,0.05570422
1512,1551,7/1/2011,0.391712963,29.56540000000,-92.90685000000,507,-92.87600000000,29.53100000000,7.00000000000,0.04620695
1513,1552,7/1/2011,0.392164352,29.54514724000,-92.91180538000,507,-92.87600000000,29.53100000000,7.00000000000,0.03849896
1514,1553,7/1/2011,0.392546296,29.52837469000,-92.91485703000,507,-92.87600000000,29.53100000000,7.00000000000,0.03894562
674,689,6/28/2011,0.400555556,29.23271636000,-92.68993402000,508,-92.79900000000,29.25300000000,10.30000000000,0.11093608
1338,1370,6/30/2011,0.468078704,29.38271343000,-92.77357152000,508,-92.79900000000,29.25300000000,10.30000000000,0.13218238
1520,1559,7/1/2011,0.396666667,29.33883333000,-92.92661667000,508,-92.79900000000,29.25300000000,10.30000000000,0.15379654
