,a_lat,a_lon,cdom,chloro,oxy,salt,temp
234,28.682,-91.365,0.46,1.19,1.71,28.96,29.29
235,28.683,-91.692,0.46,1.17,3.22,28.88,29.58
236,28.684,-91.361,0.46,1.19,1.71,28.96,29.29
237,28.685,-89.643,0.84,1.32,2.91,22.08,29.63
238,28.686,-92.964,0.31,1.17,3.22,32,29.1
239,28.686,-91.517,NA,NA,NA,NA,NA
240,28.686,-91.356,0.46,1.19,1.71,28.96,29.29
241,28.688,-91.352,0.46,1.19,1.71,28.96,29.29
242,28.689,-91.35,0.46,1.19,1.71,28.96,29.29
243,28.695,-91.72,0.46,1.17,3.22,28.88,29.58
244,28.698,-90.255,0.56,1.2,1.44,27.38,29.56
245,28.7,-92.645,0.3,1.17,3.33,32.1,29.14
246,28.702,-90.284,0.47,1.18,0.77,28.64,29.43
247,28.704,-89.683,0.84,1.32,2.91,22.08,29.63
248,28.705,-91.515,0.35,1.15,2.7,30.87,28.95
249,28.709,-92.449,0.3,1.17,3.41,32.18,29.18
250,28.71,-89.58,0.92,1.34,2.97,20.49,29.73
251,28.714,-90.259,0.56,1.2,1.44,27.38,29.56
252,28.722,-90.855,0.35,1.2,0.52,30.21,30.11
253,28.722,-90.259,0.58,1.19,0.98,26.36,29.37
254,28.729,-90.196,0.58,1.19,0.98,26.36,29.37
255,28.732,-90.231,NA,NA,NA,NA,NA
256,28.739,-90.11,0.84,1.23,2.15,23.16,29.36
257,28.745,-90.112,0.84,1.23,2.15,23.16,29.36
258,28.749,-90.154,0.79,1.23,1.67,23.66,29.45
259,28.754,-90.115,NA,NA,NA,NA,NA
260,28.756,-92.148,0.45,1.18,3.39,29.12,29.38
261,28.756,-90.115,0.84,1.23,2.15,23.16,29.36
262,28.757,-89.96,0.46,1.23,2.68,29.45,29.02
263,28.759,-90.116,0.84,1.23,2.15,23.16,29.36
264,28.762,-90.003,0.49,1.19,2.63,27.73,28.95
265,28.764,-91.359,0.52,1.22,1.82,28.39,29.24
266,28.772,-92.628,0.32,1.17,3.43,31.75,29.12
267,28.773,-89.934,0.46,1.23,2.68,29.45,29.02
268,28.783,-93.064,0.32,1.17,3.36,31.73,29.1
269,28.79,-90.462,0.46,1.17,0.28,28.11,29.49
270,28.791,-90.244,0.56,1.19,0.58,26.86,29.34
271,28.794,-92.958,0.35,1.17,3.03,31.27,29.1
272,28.805,-91.336,0.54,1.24,2.68,27.41,29.86
273,28.805,-90.335,0.58,1.19,0.14,26.54,29.32
274,28.811,-91.641,0.54,1.2,1.98,27.74,29.23
275,28.812,-89.95,NA,NA,NA,NA,NA
276,28.815,-91.667,0.47,1.19,2.28,29.09,29.05
277,28.857,-89.857,0.89,1.26,2.06,22.69,29.16
278,28.866,-92.956,NA,NA,NA,NA,NA
279,28.867,-91.668,0.58,1.21,1.54,27.23,29.21
280,28.875,-90.712,0.74,1.23,2.49,24.12,30.22
281,28.877,-92.253,0.51,1.17,2.76,27.53,29.32
282,28.877,-91.69,0.58,1.21,1.54,27.23,29.21
283,28.88,-89.515,1.3,1.3,3.46,14.4,28.75
284,28.881,-92.337,0.49,1.16,2.77,28.16,29.3
285,28.883,-90.04,NA,NA,NA,NA,NA
286,28.886,-89.599,1.2,1.28,3.32,16.84,28.83
287,28.893,-90.144,1.16,1.26,0.86,17.06,29.24
288,28.899,-90.151,1.16,1.26,0.86,17.06,29.24
289,28.899,-89.42,1.97,1.32,3.27,11.93,27.55
290,28.9,-93.191,0.39,1.16,2.16,30.46,29.03
291,28.903,-89.471,1.96,1.34,3.47,14.4,28.64
292,28.914,-92.175,0.52,1.18,2.73,27.3,29.28
293,28.916,-89.707,0.95,1.27,3.06,21.17,29.01
294,28.931,-93.198,0.43,1.16,1.87,29.69,28.95
295,28.932,-89.078,1.47,1.47,3.35,15.1,28.75
296,28.935,-91.12,0.78,1.27,1.63,18.38,29.61
297,28.935,-89.638,0.9,1.27,2.27,20.33,29.14
298,28.936,-89.731,0.84,1.25,1.93,23.2,29.27
299,28.946,-92.934,0.48,1.16,2.27,28.53,29.06
300,28.948,-90.52,NA,NA,NA,NA,NA
301,28.949,-92.942,0.48,1.16,2.27,28.53,29.06
302,28.954,-92.944,NA,NA,NA,NA,NA
303,28.961,-92.926,0.48,1.16,2.27,28.53,29.06
304,28.964,-91.097,0.74,1.26,1.42,17.46,29.59
305,28.965,-92.979,0.48,1.16,2.27,28.53,29.06
306,28.966,-92.933,0.48,1.16,2.27,28.53,29.06
307,28.97,-92.121,0.59,1.19,1.89,26.33,29.1
308,28.971,-92.792,0.45,1.17,2.41,29.25,28.98
309,28.976,-92.962,0.48,1.16,2.27,28.53,29.06
310,28.978,-92.964,0.48,1.16,2.27,28.53,29.06
311,28.978,-91.257,NA,NA,NA,NA,NA
312,28.98,-93.425,NA,NA,NA,NA,NA
313,28.983,-92.864,0.46,1.16,2.34,28.94,29.03
314,28.983,-90.331,0.99,1.22,0.06,20.82,29.39
315,28.985,-92.951,NA,NA,NA,NA,NA
316,28.985,-92.924,0.46,1.16,2.34,28.94,29.03
317,28.987,-91.859,0.55,1.19,1.33,26.94,29.38
318,28.991,-90.021,1.05,1.24,0.37,17.23,28.86
319,28.992,-92.725,0.45,1.17,2.48,29.57,28.93
320,28.993,-93.171,0.43,1.16,1.87,29.69,28.95
321,28.995,-92.956,0.48,1.16,2.27,28.53,29.06
322,28.997,-93.167,0.54,1.16,1.93,27.26,29.27
323,29,-90.85,0.75,1.22,0.84,18.94,29.53
324,29.001,-90.412,1.05,1.26,0.23,21.67,29.6
325,29.002,-91.096,NA,NA,NA,NA,NA
326,29.004,-92.835,0.5,1.18,1.93,28.61,29.04
327,29.004,-92.759,0.48,1.17,2.01,29.39,29.24
328,29.005,-93.177,0.54,1.16,1.93,27.26,29.27
329,29.006,-93.128,0.56,1.16,1.64,26.77,29.25
330,29.006,-90.369,1.07,1.27,0.13,21.59,29.56
331,29.006,-89.594,1.1,1.24,1.46,19.36,29.18
332,29.007,-93.156,NA,NA,NA,NA,NA
333,29.013,-92.806,0.5,1.18,1.93,28.61,29.04
334,29.013,-90.208,1.28,1.27,0.04,16.13,29.3
335,29.014,-89.976,1.03,1.25,0.14,17.4,29.06
336,29.015,-90.356,1.07,1.27,0.13,21.59,29.56
337,29.015,-89.007,1.18,1.26,3.31,18.22,28.16
338,29.02,-88.922,0.8,1.3,3.55,23.46,28.25
339,29.021,-92.973,0.5,1.16,1.78,28.11,29.18
340,29.021,-92.938,0.5,1.16,1.78,28.11,29.18
341,29.023,-92.356,0.6,1.2,1.36,26.07,29.41
342,29.023,-90.734,0.73,1.21,0.74,20.4,29.53
343,29.024,-90.344,1.07,1.27,0.13,21.59,29.56
344,29.024,-89.799,0.99,1.27,0.43,20.15,29.42
345,29.025,-90.762,0.73,1.21,0.74,20.4,29.53
346,29.025,-90.665,0.53,1.21,0.29,24.6,29.48
347,29.026,-90.357,1.07,1.27,0.13,21.59,29.56
348,29.027,-90.435,1.05,1.26,0.23,21.67,29.6
349,29.029,-93.023,0.52,1.17,1.71,27.35,29.12
350,29.029,-91.087,NA,NA,NA,NA,NA
351,29.029,-90.372,1.07,1.27,0.13,21.59,29.56
352,29.029,-90.32,1.09,1.28,0.04,21.51,29.53
353,29.029,-89.026,1.18,1.26,3.31,18.22,28.16
354,29.032,-92.966,0.5,1.16,1.78,28.11,29.18
355,29.032,-90.665,0.53,1.21,0.29,24.6,29.48
356,29.034,-90.183,1.45,1.32,0.05,12.2,29.12
357,29.035,-90.543,NA,NA,NA,NA,NA
358,29.037,-90.543,NA,NA,NA,NA,NA
359,29.039,-90.694,NA,NA,NA,NA,NA
360,29.04,-93.167,0.54,1.16,1.93,27.26,29.27
361,29.04,-90.874,0.75,1.22,0.84,18.94,29.53
362,29.04,-90.702,NA,NA,NA,NA,NA
363,29.04,-90.548,1.01,1.25,0.43,19.5,29.66
364,29.042,-90.019,1.22,1.27,0.1,12.78,29.04
365,29.042,-88.948,0.84,1.25,3.36,22.78,28.23
366,29.043,-90.753,0.73,1.21,0.74,20.4,29.53
367,29.044,-90.704,0.55,1.22,0.39,23.14,29.48
368,29.044,-90.5,1.03,1.26,0.33,21.17,29.63
369,29.045,-90.656,1.01,1.25,0.43,19.5,29.66
370,29.046,-90.673,0.53,1.21,0.29,24.6,29.48
371,29.046,-90.316,1.09,1.28,0.04,21.51,29.53
372,29.046,-90.302,1.09,1.28,0.04,21.51,29.53
373,29.047,-90.191,1.45,1.32,0.05,12.2,29.12
374,29.048,-90.26,NA,NA,NA,NA,NA
375,29.049,-90.332,1.09,1.28,0.04,21.51,29.53
376,29.05,-90.709,0.73,1.21,0.74,20.4,29.53
377,29.052,-90.71,0.73,1.21,0.74,20.4,29.53
378,29.053,-92.984,0.5,1.16,1.78,28.11,29.18
379,29.054,-90.552,1.01,1.25,0.43,19.5,29.66
380,29.054,-90.55,1.01,1.25,0.43,19.5,29.66
381,29.055,-90.668,1.01,1.25,0.43,19.5,29.66
382,29.055,-90.284,NA,NA,NA,NA,NA
383,29.056,-90.29,1.09,1.28,0.04,21.51,29.53
384,29.056,-88.93,NA,NA,NA,NA,NA
385,29.056,-88.93,NA,NA,NA,NA,NA
386,29.061,-92.955,0.5,1.16,1.78,28.11,29.18
387,29.063,-90.618,1.01,1.25,0.43,19.5,29.66
388,29.065,-90.562,1.01,1.25,0.43,19.5,29.66
389,29.066,-91.922,0.64,1.21,0.32,25.48,29.63
390,29.066,-91.921,0.64,1.21,0.32,25.48,29.63
391,29.066,-90.531,1.27,1.28,0.57,16.49,29.55
392,29.066,-90.267,1.09,1.28,0.04,21.51,29.53
393,29.067,-90.28,1.09,1.28,0.04,21.51,29.53
394,29.067,-90.26,NA,NA,NA,NA,NA
395,29.069,-91.523,1.06,1.27,0.57,15.46,29.56
396,29.071,-90.233,1.28,1.27,0.04,16.13,29.3
397,29.072,-91.232,0.99,1.24,0.71,10.83,29.57
398,29.072,-90.639,NA,NA,NA,NA,NA
399,29.074,-90.222,1.28,1.27,0.04,16.13,29.3
400,29.075,-90.227,1.28,1.27,0.04,16.13,29.3
401,29.076,-90.259,1.28,1.27,0.04,16.13,29.3
402,29.076,-90.252,1.28,1.27,0.04,16.13,29.3
403,29.076,-90.193,1.45,1.32,0.05,12.2,29.12
404,29.082,-90.25,1.28,1.27,0.04,16.13,29.3
405,29.083,-90.248,1.28,1.27,0.04,16.13,29.3
406,29.085,-90.258,1.28,1.27,0.04,16.13,29.3
407,29.087,-93.163,0.49,1.18,2.09,28.01,29.63
408,29.087,-90.268,1.09,1.28,0.04,21.51,29.53
409,29.087,-90.264,NA,NA,NA,NA,NA
410,29.091,-90.668,1.01,1.25,0.43,19.5,29.66
411,29.091,-90.195,1.28,1.27,0.04,16.13,29.3
412,29.093,-90.196,1.28,1.27,0.04,16.13,29.3
413,29.094,-92.908,0.54,1.21,1.28,27.38,29.52
414,29.102,-90.177,1.45,1.32,0.05,12.2,29.12
415,29.102,-90.177,1.45,1.32,0.05,12.2,29.12
416,29.105,-92.943,0.54,1.19,1.21,27.36,29.58
417,29.106,-90.192,1.45,1.32,0.05,12.2,29.12
418,29.106,-90.192,1.45,1.32,0.05,12.2,29.12
419,29.11,-91.917,0.64,1.21,0.32,25.48,29.63
420,29.114,-92.916,NA,NA,NA,NA,NA
421,29.117,-90.177,1.45,1.32,0.05,12.2,29.12
422,29.12,-90.106,1.46,1.31,0.03,13.43,29.27
423,29.123,-90.116,1.46,1.31,0.03,13.43,29.27
424,29.125,-88.633,0.73,1.23,3.09,22.93,28.89
425,29.127,-91.909,0.64,1.21,0.32,25.48,29.63
426,29.13,-91.726,1.11,1.29,0.47,18.42,29.55
427,29.138,-91.505,1.22,1.25,0.52,10.8,29.62
428,29.141,-90.407,1.51,1.31,0.29,11.22,29.48
429,29.142,-90.117,1.46,1.31,0.03,13.43,29.27
430,29.142,-90.107,1.46,1.31,0.03,13.43,29.27
431,29.144,-92.951,0.58,1.23,0.74,26.54,29.96
432,29.149,-90.098,1.46,1.31,0.03,13.43,29.27
433,29.15,-91.522,1.22,1.25,0.52,10.8,29.62
434,29.151,-91.105,1.23,1.23,0.31,10.55,29.63
435,29.153,-91.532,1.24,1.26,0.56,10.84,29.62
436,29.155,-90.098,1.46,1.31,0.03,13.43,29.27
437,29.158,-90.058,1.65,1.36,0.11,10.63,29.25
438,29.158,-90.058,1.65,1.36,0.11,10.63,29.25
439,29.16,-90.038,NA,NA,NA,NA,NA
440,29.162,-90.045,NA,NA,NA,NA,NA
441,29.163,-90.082,1.65,1.36,0.11,10.63,29.25
442,29.163,-90.045,1.65,1.36,0.11,10.63,29.25
443,29.164,-90.077,1.65,1.36,0.11,10.63,29.25
444,29.168,-90.044,1.65,1.36,0.11,10.63,29.25
445,29.168,-90.044,1.65,1.36,0.11,10.63,29.25
446,29.17,-90.065,1.65,1.36,0.11,10.63,29.25
447,29.17,-90.053,1.65,1.36,0.11,10.63,29.25
448,29.171,-92.319,0.77,1.32,2.49,23.32,29.64
449,29.183,-92.328,0.77,1.32,2.49,23.32,29.64
450,29.183,-90.049,NA,NA,NA,NA,NA
451,29.187,-91.105,NA,NA,NA,NA,NA
452,29.188,-91.884,1.09,1.25,0.78,20.84,29.76
453,29.19,-91.893,1.09,1.25,0.78,20.84,29.76
454,29.19,-91.687,1.27,1.28,0.65,11.94,29.61
455,29.2,-92.263,0.75,1.3,2.07,23.58,29.56
456,29.2,-91.62,1.25,1.27,0.61,10.15,29.61
