Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
707,7995464,-90.41205472,29.00077208,0,0,44261,45415,45407,45941,0,46900
708,7995464,-90.76345,29.00053333,0,44340,43575,45370,45467,44414,49595,0
709,7995464,-90.84976706,29.00014829,0,44418,44333,45283,44737,39815,50175,47534
710,7995464,-90.16823333,28.99996667,0,44016,45386,44972,44538,43998,48927,46388
711,7995464,-91.589713,28.99955372,0,43853,42252,44059,44551,45358,46831,47893
712,7995464,-90.52356731,28.99925495,0,44040,44215,44794,45358,0,0,46882
713,7995464,-92.52343158,28.99803706,0,43750,0,0,43508,45202,45868,46714
714,7995464,-93.16659242,28.99691851,0,43585,0,0,43441,0,45758,45872
715,7995464,-93.40835,28.99681667,0,43379,42203,43511,42935,44410,45436,45191
716,7995464,-92.31415132,28.99565693,0,43864,0,43565,42948,44950,45886,47446
717,7995464,-92.7340159,28.99560615,0,43537,0,43420,43159,44484,45364,46023
718,7995464,-91.58953333,28.99555,0,43853,42252,44059,44551,45358,46831,47893
719,7995464,-90.5037,28.9953,0,44040,44215,44794,45358,0,0,46882
720,7995464,-91.0729,28.99481667,0,43687,43888,0,44556,45293,49060,47470
721,7995464,-92.95607737,28.99464891,42053,43762,0,43849,43427,45088,45508,46280
722,7995464,-89.98998333,28.994,0,44318,45885,0,46240,47199,49011,48255
723,7995464,-90.7148,28.99308333,0,44461,43952,45087,44705,43810,49981,0
724,7995464,-93.171481,28.99292007,0,43830,41510,43503,43300,42576,45845,45368
725,7995464,-91.40691667,28.99176667,0,43171,43392,43744,44295,41977,48145,48272
726,7995464,-92.72504942,28.99172738,0,43537,0,43420,43159,44484,45364,46023
727,7995464,-90.02126349,28.99133761,0,44318,45885,0,46240,47199,49011,48255
728,7995464,-92.06047014,28.99093423,0,43567,0,44214,43932,45094,45919,47136
729,7995464,-90.33521667,28.99048333,0,0,44452,44944,44525,45462,48675,46279
730,7995464,-91.91269699,28.98967787,0,43919,42200,43597,43643,45175,46532,47308
731,7995464,-89.60640376,28.9891463,0,43866,45592,44842,45885,45473,0,49854
732,7995464,-91.12611667,28.98911667,0,43727,44217,0,44187,45880,49445,47611
733,7995464,-90.51954208,28.98765992,0,44040,44215,44794,45358,0,0,46882
734,7995464,-91.85858889,28.98681111,0,43744,42254,43571,43593,44882,46269,47447
735,7995464,-92.95067524,28.98554303,42053,43762,0,43849,43427,45088,45508,46280
736,7995464,-92.92397251,28.98535337,42053,43762,0,43849,43427,45088,45508,46280
737,7995464,-91.24375,28.98473333,0,44054,44030,0,44552,45612,48886,47948
738,7995464,-91.60298763,28.98430806,0,43853,42252,44059,44551,45358,46831,47893
739,7995464,-93.86241692,28.98365188,40578,42819,41643,42932,42766,44386,44756,43810
740,7995464,-93.85947469,28.98322844,40578,42819,41643,42932,42766,44386,44756,43810
741,7995464,-90.33063865,28.98281392,0,0,44452,44944,44525,45462,48675,46279
742,7995464,-92.86384427,28.98255671,42107,43375,0,43634,43225,44781,45357,46127
743,7995464,-92.06940214,28.98252694,0,43567,0,44214,43932,45094,45919,47136
744,7995464,-91.07976667,28.98133333,0,43687,43888,0,44556,45293,49060,47470
745,7995464,-93.42476147,28.9794741,0,43419,42199,43028,42049,44323,45382,42095
746,7995464,-93.17732077,28.97928005,0,43830,41510,43503,43300,42576,45845,45368
747,7995464,-90.5147074,28.97884342,0,44040,44215,44794,45358,0,0,46882
748,7995464,-91.25752722,28.97825211,0,43805,43829,0,44413,44644,48800,48403
749,7995464,-92.96366854,28.97767522,42193,43815,0,43528,43401,45004,45689,46306
750,7995464,-88.78247039,28.97671608,0,0,45832,46205,43531,45473,48167,0
751,7995464,-91.18263472,28.9764599,0,43760,44016,0,44892,46229,49784,47499
752,7995464,-92.96233413,28.97576377,42193,43815,0,43528,43401,45004,45689,46306
753,7995464,-92.95931045,28.97532378,42193,43815,0,43528,43401,45004,45689,46306
754,7995464,-91.60122374,28.97510044,0,43853,42252,44059,44551,45358,46831,47893
755,7995464,-89.7458502,28.97494918,0,0,46017,45084,45103,46132,0,48845
756,7995464,-91.90603743,28.97384056,0,43919,42200,43597,43643,45175,46532,47308
757,7995464,-90.06549653,28.97336122,0,44258,45645,45033,45780,46324,49663,48092
758,7995464,-93.17887041,28.97187646,0,43830,41510,43503,43300,42576,45845,45368
759,7995464,-92.79200617,28.97135952,42109,43441,0,43662,43235,44201,45348,45774
760,7995464,-93.83676667,28.97118333,40578,42819,41643,42932,42766,44386,44756,43810
761,7995464,-92.12109876,28.96997535,0,43778,0,43960,43736,44715,45493,47429
762,7995464,-89.78354253,28.96954666,0,0,45991,45059,45396,45744,48471,48455
763,7995464,-93.8519,28.96885,40578,42819,41643,42932,42766,44386,44756,43810
764,7995464,-91.61156211,28.96833239,0,43853,42252,44059,44551,45358,46831,47893
765,7995464,-93.84319117,28.96829199,40578,42819,41643,42932,42766,44386,44756,43810
766,7995464,-91.2402,28.96728333,0,44054,44030,0,44552,45612,48886,47948
767,7995464,-89.5038,28.96676667,0,43500,46242,45433,46448,45142,0,48335
768,7995464,-92.93332875,28.96648661,42053,43762,0,43849,43427,45088,45508,46280
769,7995464,-91.90421718,28.96646521,0,43919,42200,43597,43643,45175,46532,47308
770,7995464,-91.42393333,28.96621667,0,43317,43441,44124,44544,41272,48000,48513
771,7995464,-93.86377822,28.9661317,40578,42819,41643,42932,42766,44386,44756,43810
772,7995464,-92.08735686,28.96604276,0,43778,0,43960,43736,44715,45493,47429
773,7995464,-91.41878333,28.96566667,0,43317,43441,44124,44544,41272,48000,48513
774,7995464,-93.85568333,28.96536667,40578,42819,41643,42932,42766,44386,44756,43810
775,7995464,-89.74744608,28.96499059,0,0,46017,45084,45103,46132,0,48845
776,7995464,-92.97872125,28.96486339,42193,43815,0,43528,43401,45004,45689,46306
777,7995464,-91.80415064,28.96456389,0,43808,42876,0,43372,44739,46168,47229
778,7995464,-91.60670096,28.96419063,0,43853,42252,44059,44551,45358,46831,47893
779,7995464,-93.86114656,28.96398419,40578,42819,41643,42932,42766,44386,44756,43810
