FID_1,Field1,a_lat,a_lon,Identifyin,Date,Time,Waypoint,Inclinomet,Sighting_S,Observer,Vessel_Sig,Number_Ves,Vessel_Act,Direction_,Associated,Animal_Sig,Number_in_,Species,School_Siz,Behavior,Notes,Line,Notes_1,Notes_Off_,Inbound_Ou,GlareL_Cat,GlareR_Cat,Sun_penetr,Air_Temp_C,Wind_direc,Wind_Speed,Cloud_Cove,location_x,location_y,Id,date_1,time_1,cdom,dist2cdom,chloro,dist2chlor,oxy,dist2oxy,salt,dist2salt,temp,dist2temp,A2011175_c,A2011176_c,A2011177_c,A2011178_c,A2011179_c,A2011180_c,A2011181_c,A2011182_c,A2011175_s,A2011176_s,A2011177_s,A2011178_s,A2011179_s,A2011180_s,A2011181_s,A2011182_s,A2011175_t,A2011176_t,A2011177_t,A2011178_t,A2011179_t,A2011180_t,A2011181_t,A2011182_t,FID_2,centroidID,cent_x,cent_y
10,11,28.311,-90.542,425,6/27/2011,8:38:52,366,9,L,CW,Shrimp Trawler,1,Trawling,W,No,NA,NA,NA,NA,NA,On the cross,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.231,-62.23101458,425,6/27/2011,0.360324074,0.16,0.09434479,1.14,0.09434479,2.13,0.09434479,35.3,0.09434479,29.57,0.09434479,0,0,0,0,0,0,0.705250025,0.463059992,28.78516579,0,0,29.06773567,0,27.48132324,31.9414978,31.94795227,0,0,0,0,0,0,0.084849998,0.076059997,167,31,-90.63958333,28.343975
16,17,28.331,-90.654,429,6/27/2011,8:42:02,370,15,R,LB,Shrimp Trawler,1,Trawling,E,NA,NA,NA,NA,NA,NA,On transect,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.3232,-62.32327047,429,6/27/2011,0.362523148,0.27,0.06954661,1.18,0.06954661,2.78,0.06954661,32.78,0.06954661,29.85,0.06954661,0,0,0,0,0,0,0.883340001,0.469579995,28.90852165,0,0,28.97952271,0,27.78469276,31.808815,31.83033371,0,0,0,0,0,0,0.097240001,0.079099998,167,32,-90.63958333,28.343975
18,19,28.334,-90.668,430,6/27/2011,8:42:13,371,15,L,CW,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,On transect,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.3332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,33,-90.63958333,28.343975
19,20,28.343,-90.677,431,6/27/2011,8:42:28,372,7,L,CW,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,On transect,8,NA,NA,I,1,3,NA,NA,NA,NA,1,-62.3333,-62.333396,431,6/27/2011,0.362824074,0.27,0.06259788,1.18,0.06259788,2.78,0.06259788,32.78,0.06259788,29.85,0.06259788,0,0,0,0,0,0,1.298939943,0.483550012,28.86405563,0,0,29.16957664,28.07658577,27.71512413,31.68402481,31.80379486,0,0,0,0,0,0,0.122400001,0.079060003,167,34,-90.63958333,28.343975
22,23,28.367,-90.664,432,6/27/2011,8:43:07,373,60,L,CW,Shrimp Trawler,1,Transiting,S,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,I,1,3,NA,NA,NA,NA,1,-62.2971,-62.2971102,432,6/27/2011,0.363275463,0.27,0.03593217,1.18,0.03593217,2.78,0.03593217,32.78,0.03593217,29.85,0.03593217,0,0,0,0,0,0,1.349069953,0.468699992,28.91641045,0,0,29.19754601,28.07515144,27.56666756,31.8791008,31.82101059,0,0,0,0,0,0,0.125279993,0.078709997,167,35,-90.63958333,28.343975
8,9,28.31,-90.48,424,6/27/2011,8:37:17,365,32,R,LB,Shrimp Trawler,1,Transiting,Unknown,NA,NA,NA,NA,NA,NA,On the cross,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.1697,-62.16968112,424,6/27/2011,0.359224537,0.16,0.09492187,1.14,0.09492187,2.13,0.09492187,35.3,0.09492187,29.57,0.09492187,0,0,0,0,0,0,0.208560005,0.483940005,28.39214706,0,0,29.13586807,0,27.61973953,31.1468544,32.10716629,0,0,0,0,0,0,0.039999999,0.077799998,168,36,-90.44201667,28.343975
9,10,28.31,-90.398,394,6/27/2011,7:41:51,336,90,NA,NA,Shrimp Trawler,1,Trawling,ESE,NA,NA,NA,NA,NA,NA,"Exact mark of 334, 5 vessels total, 4 was approximated at 334, no animals with any of them",NA,Broke track for a shrimp trawler,Off effort,NA,2,3,NA,NA,NA,NA,1,-62.088,-62.08801666,394,6/27/2011,0.320729167,0.23,0.09401993,1.17,0.09401993,2.65,0.09401993,33.96,0.09401993,29.32,0.09401993,0,0,0,0,0,0,0.160300002,0.475710005,28.73209381,0,0,29.25563812,0,28.39645004,31.20207977,31.75431061,0,0,0,0,0,0,0.036339998,0.07282,168,37,-90.44201667,28.343975
11,12,28.311,-90.457,423,6/27/2011,8:36:34,364,12,L,CW,Shrimp Trawler,1,Transiting,W,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,O,3,2,NA,NA,NA,NA,1,-62.1459,-62.14584697,423,6/27/2011,0.358726852,0.19,0.0904856,1.15,0.0904856,2.23,0.0904856,34.79,0.0904856,29.46,0.0904856,0,0,0,0,0,0,0.150089994,0.477030009,28.71990204,0,0,29.22766876,0,28.23938751,31.13394547,31.98165894,0,0,0,0,0,0,0.033709999,0.075599998,168,38,-90.44201667,28.343975
42,43,28.409,-90.469,421,6/27/2011,8:33:42,362,13,R,LB,Shrimp Trawler,1,Transiting,SW,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,O,3,2,NA,NA,NA,NA,1,-62.0602,-62.06025004,421,6/27/2011,0.356736111,0.19,0.03031718,1.15,0.03031718,2.23,0.03031718,34.79,0.03031718,29.46,0.03031718,0,0,0,0,0,0,1.175879955,0.501739979,28.66109276,0,0,29.33954811,27.94175529,28.56498909,31.7019577,31.98381042,0,0,0,0,0,0,0.115180001,0.081239998,168,39,-90.44201667,28.343975
26,27,28.387,-90.336,392,6/27/2011,7:35:32,334,2,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,2,3,NA,NA,NA,NA,1,-61.9497,-61.94976014,389,6/27/2011,0.316342593,0.23,0.03612566,1.17,0.03612566,2.65,0.03612566,33.96,0.03612566,29.32,0.03612566,0,0,0,0,0,0,0.458050013,0.575900018,28.94222832,0,28.60802078,29.57621956,27.75098419,0,31.76363373,31.92858505,0,0,0,0,0,0,0.064199999,0.086709999,169,40,-90.24445,28.343975
27,28,28.387,-90.336,389,6/27/2011,7:35:32,334,2,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,2,3,NA,NA,NA,NA,1,-61.9497,-61.94976014,389,6/27/2011,0.316342593,0.23,0.03612566,1.17,0.03612566,2.65,0.03612566,33.96,0.03612566,29.32,0.03612566,0,0,0,0,0,0,0.458050013,0.575900018,28.94222832,0,28.60802078,29.57621956,27.75098419,0,31.76363373,31.92858505,0,0,0,0,0,0,0.064199999,0.086709999,169,41,-90.24445,28.343975
127,128,28.537,-93.665,898,6/29/2011,11:46:02,108,14,R,KC,Shrimp Trawler,1,Transiting,ESE,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,O,3,1,NA,NA,NA,NA,1,-65.1271,-65.12712832,898,6/29/2011,0.490300926,0.28,0.00521438,1.16,0.00521438,2.79,0.00521438,32.5,0.00521438,29.04,0.00521438,0,0,0,0,0,0,0.596989989,0,28.30608559,0,29.04335213,28.7672348,28.28385353,29.48657227,29.49015808,28.34911728,0,0,0,0,0,0,0.078000002,0,182,42,-93.60308333,28.475425
